Time,ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
23:38:26,75.1,22.6,1900.97,63853.42
23:38:27,75.2,23.1,1900.97,63853.75
23:38:28,75.2,72.5,1901.01,63854.44
23:38:29,77.3,33.8,1901.03,63854.7
23:38:30,47.4,34.8,1901.04,63855.07
23:38:31,47.4,27.6,1901.04,63855.2
23:38:32,32.9,84,1901.07,63855.29
23:38:33,32.9,74.3,1901.07,63855.35
23:38:34,47.4,29.4,1901.07,63855.41
23:38:36,77.2,22.3,1901.07,63855.52
23:38:37,77.2,37.1,1901.07,63855.55
23:38:38,77,31.2,1901.07,63855.9
23:38:39,26.9,26,1901.07,63856.13
23:38:40,26.9,22.3,1901.08,63856.21
23:38:41,76.8,47.3,1901.08,63856.36
23:38:42,76.8,24,1901.08,63856.39
23:38:43,76.7,26.1,1901.08,63856.48
23:38:44,76.7,21.3,1901.1,63856.58
23:38:45,76.7,28.4,1901.1,63856.62
23:38:46,76.7,42.5,1901.1,63856.64
23:38:47,76.7,42.2,1901.12,63856.74
23:38:48,26.9,56.5,1901.18,63857.02
23:38:49,26.9,29.6,1901.21,63857.12
23:38:50,77,36.8,1901.3,63857.12
23:38:51,77.1,23.1,1901.31,63857.23
23:38:52,77.1,28.2,1901.59,63857.89
23:38:53,77.1,63.2,1901.69,63857.6
23:38:54,77.2,43.4,1901.79,63857.72
23:38:55,77.3,35.4,1901.99,63857.73
23:38:57,47.4,36,1902.15,63857.78
23:38:58,32.9,34.9,1902.32,63858.16
23:38:59,77.6,33.7,1902.42,63858.28
23:39:00,77.6,35.7,1902.7,63858.28
23:39:01,77.6,26.4,1902.85,63858.42
23:39:02,77.6,34.3,1903.09,63858.42
23:39:03,77.6,31.9,1903.25,63858.46
23:39:04,77.6,16.4,1903.25,63858.6
23:39:05,77.6,23,1903.25,63858.62
23:39:06,32.9,14.6,1903.89,63858.64
23:39:07,77.6,74.7,1903.89,63859.09
23:39:08,77.6,15,1903.89,63859.14
23:39:09,77.6,16.7,1903.89,63859.34
23:39:10,77.6,84.7,1903.89,63859.41
23:39:11,32.9,19.8,1903.89,63859.5
23:39:12,32.9,41.2,1903.27,63860.03
23:39:13,32.9,18.2,1903.27,63860.05
23:39:14,32.9,10.9,1903.27,63861.07
23:39:15,47.4,10.2,1903.27,63861.17
23:39:16,32.9,15.5,1903.3,63861.43
23:39:17,47.4,74,1903.3,63861.47
23:39:18,47.4,13.8,1903.3,63861.55
23:39:20,77.3,19.1,1903.3,63861.67
23:39:21,47.4,9.4,1903.31,63861.75
23:39:22,76.7,16.2,1903.31,63861.76
23:39:23,76.6,41.3,1903.31,63861.79
23:39:24,76.7,9.5,1903.31,63861.9
23:39:25,76.6,9.8,1903.31,63861.93
23:39:26,76.6,47,1903.32,63862.06
23:39:27,76.7,74.2,1903.33,63862.18
23:39:28,76.5,15,1903.33,63862.29
23:39:29,76.6,5.6,1903.33,63862.48
23:39:30,76.5,12.8,1903.33,63862.53
23:39:31,76.6,21,1903.33,63862.54
23:39:32,76.6,15.5,1903.33,63862.79
23:39:33,76.6,21.4,1903.35,63862.9
23:39:34,76.7,16.9,1903.36,63862.95
23:39:35,76.6,17.1,1903.36,63862.99
23:39:36,76.7,17.7,1903.36,63864.08
23:39:37,76.7,74,1903.37,63864.51
23:39:38,76.8,24.2,1903.43,63864.65
23:39:39,76.8,17.1,1903.44,63864.78
23:39:40,26.9,32.9,1903.44,63864.96
23:39:41,26.9,31.3,1903.44,63865.17
23:39:43,26.9,29.4,1903.44,63865.29
23:39:44,26.9,33.1,1903.44,63865.62
23:39:45,76.8,34,1903.45,63865.64
23:39:46,76.8,36,1903.46,63866.2
23:39:47,26.9,37.4,1903.46,63866.34
23:39:48,76.8,41.2,1903.48,63866.52
23:39:49,77.3,29.6,1903.48,63866.57
23:39:50,47.4,32.8,1903.49,63866.69
23:39:51,47.4,24.6,1903.49,63866.31
23:39:52,47.4,29.4,1903.49,63866.83
23:39:53,77,32.8,1903.49,63866.88
23:39:54,77,31.7,1903.5,63866.89
23:39:55,26.9,27.2,1903.5,63867.13
23:39:56,26.9,23.4,1903.5,63867.31
23:39:57,76.8,22.6,1903.5,63867.31
23:39:58,26.9,16.1,1903.5,63868.13
23:39:59,26.9,15.5,1903.5,63868.21
23:40:00,26.9,48.3,1903.51,63868.22
23:40:01,77,28.7,1903.52,63868.32
23:40:02,77.1,21.3,1903.53,63868.33
23:40:03,77.1,47.6,1903.58,63868.46
23:40:04,77.2,44.4,1903.65,63868.48
23:40:06,47.4,40.2,1903.74,63868.53
23:40:07,32.9,37.9,1903.82,63868.58
23:40:08,77.6,37.5,1903.94,63868.59
23:40:09,47.3,37.8,1904.01,63868.67
23:40:10,77.6,19.3,1904.02,63868.68
23:40:11,47.3,11.1,1904.02,63868.82
23:40:12,47.3,9.3,1904.02,63869
23:40:13,77.6,22.5,1904.02,63869.29
23:40:14,77.6,23.9,1904.02,63869.58
23:40:15,77.6,9.3,1904.02,63869.61
23:40:16,77.6,9.8,1904.02,63869.66
23:40:17,77.6,24.5,1904.02,63869.69
23:40:18,47.4,36.5,1904.03,63869.92
23:40:19,47.4,74.8,1904.03,63870.05
23:40:20,47.4,28.9,1904.03,63870.17
23:40:21,77.3,53.6,1904.04,63870.18
23:40:22,77.1,32.7,1904.05,63871.21
23:40:23,76.8,8.4,1904.05,63871.33
23:40:24,76.7,10.8,1904.05,63871.36
23:40:26,76.7,8.7,1904.05,63871.38
23:40:27,76.7,4.5,1904.05,63871.69
23:40:28,76.7,13.1,1904.05,63872.09
23:40:29,76.1,14.2,1904.05,63872.62
23:40:30,76.1,3.8,1904.05,63872.69
23:40:31,76.1,5,1904.05,63873.07
23:40:32,76.1,6.7,1904.05,63873.08
23:40:33,76.1,47.7,1904.05,63873.17
23:40:34,76.1,40.5,1904.08,63873.27
23:40:35,76,40.9,1904.08,63873.28
23:40:36,76,47,1904.08,63873.31
23:40:37,76,13.6,1904.08,63873.74
23:40:38,76,5.8,1904.08,63873.78
23:40:39,76,2.7,1904.08,63873.88
23:40:40,76,47.9,1904.08,63873.89
23:40:41,75.9,47.5,1904.08,63874
23:40:42,75.9,6.1,1904.08,63874.15
23:40:43,75.9,5.6,1904.08,63874.16
23:40:44,75.9,6.9,1904.08,63874.37
23:40:45,76,22.6,1904.09,63874.4
23:40:46,76,12.5,1904.09,63847.39
23:40:47,76,59.2,1904.14,63877.89
23:40:49,36.8,53.3,1904.19,63887.33
23:40:50,76.8,22.5,1904.4,63887.82
23:40:51,76.8,58.1,1904.89,63888.92
23:40:52,77,56.5,1905.24,63889.68
23:40:53,77.1,34.9,1906.05,63890.35
23:40:54,77.3,48.2,1906.63,63891.95
23:40:55,47.4,40.1,1906.88,63892.62
23:40:56,47.4,23.1,1906.92,63893.34
23:40:57,47.4,22.2,1906.94,63894.2
23:40:58,47.4,9.2,1906.94,63894.31
23:40:59,47.4,11.9,1906.94,63895.87
23:41:00,47.4,11.2,1906.95,63896.42
23:41:01,47.4,84.3,1907,63903.54
23:41:02,77.2,43.6,1907.93,63903.96
23:41:03,32.9,41.7,1908.04,63905.04
23:41:04,77.6,21.4,1908.04,63906.94
23:41:05,47.3,17.4,1908.05,63908.24
23:41:06,77.6,18.2,1908.06,63908.73
23:41:07,77.6,29.2,1908.11,63910.69
23:41:08,32.9,33.2,1908.11,63912.06
23:41:10,47.4,21.9,1908.11,63913.09
23:41:11,32.9,14,1908.11,63913.14
23:41:12,32.9,9.1,1908.11,63914.72
23:41:13,47.4,16.1,1908.11,63915.02
